12-08 16: 46: 52: Training starting...
Episode 0: Total Mean reward = -2.0, Mean Reward last 50 = -2.0, Epsilon = 1, best_rewards = -2.0
Episode 7800: Total Mean reward = 11.780156390206384, Mean Reward last 50 = 15.58, Epsilon = 0.01, best_rewards = 26.0
Episode 7850: Total Mean reward = 11.794293720545154, Mean Reward last 50 = 14.0, Epsilon = 0.01, best_rewards = 26.0
Episode 7900: Total Mean reward = 11.814706999114037, Mean Reward last 50 = 15.02, Epsilon = 0.01, best_rewards = 26.0
Episode 7950: Total Mean reward = 11.8385108791347, Mean Reward last 50 = 15.6, Epsilon = 0.01, best_rewards = 26.0
Episode 8000: Total Mean reward = 11.866266716660418, Mean Reward last 50 = 16.28, Epsilon = 0.01, best_rewards = 26.0
Episode 8050: Total Mean reward = 11.890075766985468, Mean Reward last 50 = 15.7, Epsilon = 0.01, best_rewards = 26.0
Episode 8100: Total Mean reward = 11.921244290828293, Mean Reward last 50 = 16.94, Epsilon = 0.01, best_rewards = 26.0
Episode 8150: Total Mean reward = 11.94675499938658, Mean Reward last 50 = 16.08, Epsilon = 0.01, best_rewards = 26.0
Episode 8200: Total Mean reward = 11.964882331422997, Mean Reward last 50 = 14.92, Epsilon = 0.01, best_rewards = 26.0
Episode 8250: Total Mean reward = 11.974063749848503, Mean Reward last 50 = 13.48, Epsilon = 0.01, best_rewards = 26.0
Episode 8300: Total Mean reward = 11.99638597759306, Mean Reward last 50 = 15.68, Epsilon = 0.01, best_rewards = 26.0
Episode 8350: Total Mean reward = 12.018440905280805, Mean Reward last 50 = 15.68, Epsilon = 0.01, best_rewards = 26.0
Episode 8400: Total Mean reward = 12.041899773836448, Mean Reward last 50 = 15.96, Epsilon = 0.01, best_rewards = 26.0
Episode 8450: Total Mean reward = 12.05845462075494, Mean Reward last 50 = 14.84, Epsilon = 0.01, best_rewards = 26.0
Episode 8500: Total Mean reward = 12.0731678626044, Mean Reward last 50 = 14.56, Epsilon = 0.01, best_rewards = 26.0
